vac,verb,item,n_risk,n_event,n_censored,naive_median,km_median,km_ci_low,km_ci_high,km_s_end,median_reached,aoa_rank
VL,go,VL|go,46,43,3,27.32854209445585,29.0,24.262833675564682,31.657084188911703,0.0,True,1.0
VL,come,VL|come,46,41,5,28.295687885010267,29.95277207392197,24.32854209445585,32.98562628336756,0.0,True,2.0
VL,sit,VL|sit,46,35,11,30.525667351129364,34.459958932238195,30.06570841889117,39.36139630390144,0.1130319443889932,True,3.0
VL,fall,VL|fall,46,35,11,30.197125256673512,36.0,30.06570841889117,41.82135523613963,0.0,True,4.0
VL,jump,VL|jump,46,18,28,31.4435318275154,,38.98562628336756,,0.5371233302267785,False,
VL,knock,VL|knock,46,5,41,31.8870636550308,,,,0.8847006651884699,False,
VL,want,VL|want,46,10,36,29.976386036960985,,59.06570841889117,,0.5324266694403995,False,
VL,write,VL|write,46,5,41,31.39425051334702,,,,0.8873015873015873,False,
VO,want,VO|want,46,43,3,24.06570841889117,24.098562628336754,23.82135523613963,27.13141683778234,0.0,True,1.0
VO,get,VO|get,46,44,2,24.164271047227928,24.229979466119097,23.8870636550308,27.229979466119097,0.0,True,2.0
VO,have,VO|have,46,44,2,27.0,27.0,24.032854209445585,29.985626283367555,0.0,True,3.0
VO,do,VO|do,46,43,3,27.13141683778234,27.13141683778234,26.854209445585216,29.427104722792606,0.0,True,4.0
VO,chew,VO|chew,46,7,39,27.13141683778234,,57.72279260780287,,0.6580246913580247,False,
VO,give,VO|give,46,16,30,27.13141683778234,,34.85420944558521,,0.6191721132897602,False,
VO,jump,VO|jump,46,6,40,27.344969199178642,,,,0.8644415917843388,False,
VO,tick,VO|tick,46,6,40,22.664271047227928,,,,0.8658307168325261,False,
VOL,put,VOL|put,46,42,4,29.992813141683776,30.098562628336754,28.295687885010267,33.95277207392197,0.0,True,1.0
VOL,get,VOL|get,46,43,3,33.09856262833676,33.394250513347025,31.62058521560575,36.19712525667351,0.023039144879387567,True,2.0
VOL,take,VOL|take,46,32,14,30.082135523613964,34.16427104722793,30.098562628336754,45.13141683778234,0.08174631692418255,True,3.0
VOL,bite,VOL|bite,46,6,40,34.394250513347025,,,,0.8143465909090909,False,
VOL,fall,VOL|fall,46,7,39,29.427104722792606,,,,0.8426888426888425,False,
VOL,go,VOL|go,46,13,33,33.6570841889117,,39.09856262833676,,0.6217663817663817,False,
VOL,pick,VOL|pick,46,5,41,34.16427104722793,,,,0.8699931647300068,False,
VOL,pull,VOL|pull,46,12,34,33.41067761806981,,49.492813141683776,,0.6523724279835389,False,
VOO,give,VOO|give,46,37,9,30.032854209445585,33.0,27.164271047227928,40.0,0.052753623188405825,True,1.0
VOO,get,VOO|get,46,29,17,36.0,42.03285420944559,38.91991786447639,42.78850102669404,0.2844978979298601,True,2.0
VOO,do,VOO|do,46,21,25,35.85420944558521,50.09856262833676,41.98562628336756,58.19712525667351,0.315314608914747,True,3.0
VOO,draw,VOO|draw,46,3,43,30.032854209445585,,,,0.9304093567251461,False,
VOO,hit,VOO|hit,46,3,43,32.95277207392197,,,,0.9307359307359306,False,
VOO,keep,VOO|keep,46,3,43,31.032854209445585,,,,0.9301542207792207,False,
VOO,take,VOO|take,46,8,38,34.81211498973306,,,,0.7827661785802098,False,
VOO,write,VOO|write,46,4,42,34.680698151950715,,,,0.8958333333333333,False,
