vac,verb,item,construction,preposition,grain,n_children,n_tokens,median_first_age,mean_first_age,pooled_first_age,aoa_rank
VL,go,VL|go,VL,,schematic,43,1171,27.32854209445585,29.541855689795135,18.06570841889117,1.0
VL,come,VL|come,VL,,schematic,41,466,28.295687885010267,30.468422897781338,18.0,2.0
VL,want,VL|want,VL,,schematic,10,20,29.976386036960985,32.61252566735113,18.0,3.0
VL,fall,VL|fall,VL,,schematic,35,325,30.197125256673512,33.89580522147257,18.0,4.0
VL,sit,VL|sit,VL,,schematic,35,287,30.525667351129364,32.49821061894984,18.0,5.0
VL,write,VL|write,VL,,schematic,5,65,31.39425051334702,29.46652977412731,21.0,6.0
VL,jump,VL|jump,VL,,schematic,18,92,31.4435318275154,32.82614647501711,20.0,7.0
VL,knock,VL|knock,VL,,schematic,5,15,31.8870636550308,33.33511293634497,28.49281314168378,8.0
VL,turn,VL|turn,VL,,schematic,10,66,32.427104722792606,35.93326488706366,25.0,9.0
VL,roll,VL|roll,VL,,schematic,5,26,32.78850102669404,35.71252566735113,27.0,10.0
VL,look,VL|look,VL,,schematic,41,526,32.98562628336756,33.52947363149196,18.0,11.0
VL,put,VL|put,VL,,schematic,22,136,34.272073921971256,34.744819861862986,18.197125256673512,12.0
VL,get,VL|get,VL,,schematic,38,299,34.70636550308008,33.812439208905225,18.06570841889117,13.0
VL,hang,VL|hang,VL,,schematic,7,9,34.98562628336756,34.722205925491345,20.854209445585216,14.0
VL,ride,VL|ride,VL,,schematic,5,32,35.91991786447639,35.90965092402464,30.55852156057495,15.0
VL,take,VL|take,VL,,schematic,10,41,35.959958932238195,37.77926078028747,18.0,16.0
VL,step,VL|step,VL,,schematic,7,33,36.13141683778234,36.66588442358462,25.0,17.0
VL,listen,VL|listen,VL,,schematic,9,21,36.19712525667351,37.729637234770706,25.0,18.0
VL,walk,VL|walk,VL,,schematic,13,42,36.19712525667351,36.737324277365346,24.49281314168378,18.0
VL,tell,VL|tell,VL,,schematic,8,15,36.7135523613963,40.66067761806981,23.95277207392197,20.0
VL,swim,VL|swim,VL,,schematic,5,8,36.82135523613963,39.58480492813142,24.49281314168378,21.0
VL,lay,VL|lay,VL,,schematic,12,42,36.959958932238195,37.64305270362765,21.0,22.0
VL,see,VL|see,VL,,schematic,12,29,37.927104722792606,37.72245037645448,21.0,23.0
VL,crash,VL|crash,VL,,schematic,5,7,38.29568788501027,38.591375770020534,23.985626283367555,24.0
VL,talk,VL|talk,VL,,schematic,16,72,38.54928131416838,38.18300821355236,22.0,25.0
VL,stand,VL|stand,VL,,schematic,10,32,38.60780287474333,37.176386036960984,26.0,26.0
VL,do,VL|do,VL,,schematic,9,30,39.06570841889117,38.30504220853297,18.06570841889117,27.0
VL,live,VL|live,VL,,schematic,12,41,39.114989733059545,40.24674880219028,26.0,28.0
VL,draw,VL|draw,VL,,schematic,5,9,39.16427104722793,41.46283367556468,26.0,29.0
VL,belong,VL|belong,VL,,schematic,7,21,39.2299794661191,36.71956585508947,23.0,30.0
VL,play,VL|play,VL,,schematic,23,61,39.2299794661191,39.04312114989733,24.0,30.0
VL,say,VL|say,VL,,schematic,13,26,39.36139630390144,42.7499605117675,27.0,32.0
VL,stay,VL|stay,VL,,schematic,16,65,39.361396303901444,38.0142453798768,21.0,33.0
VL,move,VL|move,VL,,schematic,5,8,39.591375770020534,41.223408624229975,26.0,34.0
VL,lie,VL|lie,VL,,schematic,17,29,40.525667351129364,39.4773523372388,19.0,35.0
VL,give,VL|give,VL,,schematic,8,9,40.62422997946612,39.96817248459959,26.8870636550308,36.0
VL,stick,VL|stick,VL,,schematic,6,15,40.66427104722793,38.658795345653665,24.197125256673512,37.0
VL,splash,VL|splash,VL,,schematic,6,10,40.79568788501027,40.05852156057495,32.8870636550308,38.0
VL,fit,VL|fit,VL,,schematic,7,34,41.82135523613963,42.2332062188325,28.098562628336754,39.0
VL,sleep,VL|sleep,VL,,schematic,11,41,41.82135523613963,40.37240993093149,25.0,39.0
VL,break,VL|break,VL,,schematic,7,16,42.0,39.37547667937812,25.032854209445585,41.0
VL,work,VL|work,VL,,schematic,6,19,42.07494866529774,38.355920602327174,26.0,42.0
VL,hide,VL|hide,VL,,schematic,9,16,42.29568788501027,40.03171343828428,27.164271047227928,43.0
VL,think,VL|think,VL,,schematic,5,8,42.36139630390144,41.32197125256673,21.0,44.0
VL,have,VL|have,VL,,schematic,8,14,42.427104722792606,40.49640657084189,23.0,45.0
VL,fly,VL|fly,VL,,schematic,8,19,42.74640657084189,43.5644250513347,25.722792607802873,46.0
VL,bring,VL|bring,VL,,schematic,5,10,43.6570841889117,41.351950718685835,22.0,47.0
VL,hold,VL|hold,VL,,schematic,10,17,44.37782340862423,41.9694045174538,21.0,48.0
VL,climb,VL|climb,VL,,schematic,7,13,44.394250513347025,43.86506306834849,19.0,49.0
VL,be,VL|be,VL,,schematic,7,8,45.13141683778234,45.696098562628336,30.525667351129364,50.0
VL,run,VL|run,VL,,schematic,11,47,45.13141683778234,42.06776180698152,21.0,50.0
VL,know,VL|know,VL,,schematic,6,11,46.23921971252567,44.98733744010951,33.06570841889117,52.0
VL,slide,VL|slide,VL,,schematic,7,16,47.328542094455855,45.59812261660311,36.13141683778234,53.0
VL,bump,VL|bump,VL,,schematic,5,7,48.91991786447639,46.200821355236144,27.0,54.0
VL,find,VL|find,VL,,schematic,5,5,50.82135523613963,45.04681724845996,21.13141683778234,55.0
VL-about,tell,VL-about|tell,VL,about,prep,5,9,37.29568788501027,39.87597535934292,33.06570841889117,1.0
VL-about,know,VL-about|know,VL,about,prep,5,8,49.492813141683776,47.37166324435318,42.16427104722793,2.0
VL-across,go,VL-across|go,VL,across,prep,2,2,33.00924024640657,33.00924024640657,30.098562628336754,1.0
VL-across,walk,VL-across|walk,VL,across,prep,2,2,33.22279260780287,33.22279260780287,24.49281314168378,2.0
VL-across,fall,VL-across|fall,VL,across,prep,1,1,42.29568788501027,42.29568788501027,42.29568788501027,3.0
