vac,verb,item,construction,preposition,grain,n_tokens,median_age,input_rank
VL,go,VL|go,VL,,schematic,1627,40.85420944558521,1.0
VL,come,VL|come,VL,,schematic,943,38.8870636550308,2.0
VL,look,VL|look,VL,,schematic,531,41.16427104722793,3.0
VL,get,VL|get,VL,,schematic,423,41.16427104722793,4.0
VL,sit,VL|sit,VL,,schematic,421,34.6570841889117,5.0
VL,say,VL|say,VL,,schematic,298,46.328542094455855,6.0
VL,talk,VL|talk,VL,,schematic,197,38.91991786447639,7.0
VL,fall,VL|fall,VL,,schematic,131,35.13141683778234,8.0
VL,write,VL|write,VL,,schematic,108,31.459958932238195,9.0
VL,stay,VL|stay,VL,,schematic,105,39.91991786447639,10.0
VL,stand,VL|stand,VL,,schematic,77,36.03285420944559,11.0
VL,tell,VL|tell,VL,,schematic,72,42.14784394250513,12.0
VL,live,VL|live,VL,,schematic,69,42.19712525667351,13.0
VL,run,VL|run,VL,,schematic,69,44.8870636550308,13.0
VL,play,VL|play,VL,,schematic,62,35.93634496919918,15.0
VL,hang,VL|hang,VL,,schematic,58,39.0,16.0
VL,put,VL|put,VL,,schematic,53,41.95277207392197,17.0
VL,see,VL|see,VL,,schematic,52,42.591375770020534,18.0
VL,sleep,VL|sleep,VL,,schematic,52,37.8870636550308,18.0
VL,know,VL|know,VL,,schematic,50,43.1570841889117,20.0
VL,do,VL|do,VL,,schematic,49,44.459958932238195,21.0
VL,be,VL|be,VL,,schematic,46,39.28850102669405,22.0
VL,walk,VL|walk,VL,,schematic,44,42.99281314168378,23.0
VL,think,VL|think,VL,,schematic,42,42.47638603696099,24.0
VL,hold,VL|hold,VL,,schematic,39,34.16427104722793,25.0
VL,start,VL|start,VL,,schematic,38,47.16427104722793,26.0
VL,belong,VL|belong,VL,,schematic,36,25.5,27.0
VL,jump,VL|jump,VL,,schematic,35,30.032854209445585,28.0
VL,lie,VL|lie,VL,,schematic,33,34.85420944558521,29.0
VL,have,VL|have,VL,,schematic,26,44.8870636550308,30.0
VL,ride,VL|ride,VL,,schematic,26,37.29568788501027,30.0
VL,step,VL|step,VL,,schematic,26,34.29568788501027,30.0
VL,fit,VL|fit,VL,,schematic,25,36.06570841889117,33.0
VL,give,VL|give,VL,,schematic,25,41.6570841889117,33.0
VL,happen,VL|happen,VL,,schematic,25,40.29568788501027,33.0
VL,move,VL|move,VL,,schematic,25,39.82135523613963,33.0
