collection_name,corpus_name,n_tokens,n_pos,n_gra,n_parsed,pos_rate,gra_rate,parsed_rate,in_s7_2
Eng-NA,Bates,40668,39427,39427,39427,0.9694846070620635,0.9694846070620635,0.9694846070620635,True
Eng-NA,Bernstein,63198,62430,62430,62430,0.9878477166998956,0.9878477166998956,0.9878477166998956,True
Eng-NA,Bliss,9448,9312,9312,9312,0.9856054191363252,0.9856054191363252,0.9856054191363252,True
Eng-NA,Bloom,255147,243789,243789,243789,0.9554844854142905,0.9554844854142905,0.9554844854142905,True
Eng-NA,Bohannon,38718,37531,37531,37531,0.9693424247120203,0.9693424247120203,0.9693424247120203,True
Eng-NA,Braunwald,282204,223622,223622,223622,0.7924125809697949,0.7924125809697949,0.7924125809697949,False
Eng-NA,Brent,598693,585098,585098,585098,0.9772922015122942,0.9772922015122942,0.9772922015122942,True
Eng-NA,Brown,672689,654318,654318,654318,0.9726902030507412,0.9726902030507412,0.9726902030507412,True
Eng-NA,Champaign,1092944,1021483,1021483,1021483,0.9346160462018183,0.9346160462018183,0.9346160462018183,False
Eng-NA,Clark,209748,202752,202752,202752,0.9666456891126495,0.9666456891126495,0.9666456891126495,True
Eng-NA,Davis,130622,22208,22208,22208,0.17001730183276936,0.17001730183276936,0.17001730183276936,False
Eng-NA,Davis-CDI,4063,0,0,0,0.0,0.0,0.0,False
Eng-NA,Demetras1,58238,57473,57473,57473,0.986864246711769,0.986864246711769,0.986864246711769,True
Eng-NA,Demetras2,86140,84075,84075,84075,0.976027397260274,0.976027397260274,0.976027397260274,True
Eng-NA,EHS,699652,675851,675851,675851,0.965981659453557,0.965981659453557,0.965981659453557,False
Eng-NA,Evans,17406,16656,16656,16656,0.9569114098586694,0.9569114098586694,0.9569114098586694,True
Eng-NA,FMB_book,36544,34904,34904,34904,0.955122591943958,0.955122591943958,0.955122591943958,False
Eng-NA,FMB_home,231097,210682,210682,210682,0.9116604715768704,0.9116604715768704,0.9116604715768704,False
Eng-NA,Feldman,461717,443952,443952,443952,0.9615240504464856,0.9615240504464856,0.9615240504464856,True
Eng-NA,Garvey,49035,47911,47911,47911,0.9770775976343428,0.9770775976343428,0.9770775976343428,True
Eng-NA,Gathercole,38987,36916,36916,36916,0.9468797291404827,0.9468797291404827,0.9468797291404827,True
Eng-NA,Gelman,238258,235067,235067,235067,0.9866069554852303,0.9866069554852303,0.9866069554852303,False
Eng-NA,Gleason,240878,233340,233340,233340,0.9687061500012455,0.9687061500012455,0.9687061500012455,True
Eng-NA,Goad,23123,0,0,0,0.0,0.0,0.0,False
Eng-NA,Gopnik,43420,42222,42222,42222,0.9724090280976508,0.9724090280976508,0.9724090280976508,False
Eng-NA,HSLLD,1455816,1394406,1394406,1394406,0.9578174714386983,0.9578174714386983,0.9578174714386983,False
Eng-NA,Haggerty,9629,9614,9614,9614,0.9984422058365354,0.9984422058365354,0.9984422058365354,True
Eng-NA,Hall,623312,605614,605614,605614,0.9716065148753754,0.9716065148753754,0.9716065148753754,True
Eng-NA,Hicks,89287,87301,87301,87301,0.9777571202974678,0.9777571202974678,0.9777571202974678,False
Eng-NA,Higginson,50282,49154,49154,49154,0.9775665248001273,0.9775665248001273,0.9775665248001273,True
Eng-NA,Inkelas,3635,25,25,25,0.0068775790921595595,0.0068775790921595595,0.0068775790921595595,False
Eng-NA,Kuczaj,283938,267611,267611,267611,0.9424980101289718,0.9424980101289718,0.9424980101289718,True
Eng-NA,Lego,575554,553930,553930,553930,0.9624292420867546,0.9624292420867546,0.9624292420867546,False
Eng-NA,MacWhinney,945992,564661,564661,564661,0.5968982824379064,0.5968982824379064,0.5968982824379064,True
Eng-NA,McCune,162080,155772,155772,155772,0.961080947680158,0.961080947680158,0.961080947680158,True
Eng-NA,McMillan,714,706,706,706,0.988795518207283,0.988795518207283,0.988795518207283,False
Eng-NA,Menn,10931,3382,3382,3382,0.3093952977769646,0.3093952977769646,0.3093952977769646,False
Eng-NA,Morisset,96140,91040,91040,91040,0.9469523611400041,0.9469523611400041,0.9469523611400041,True
Eng-NA,Nelson,43377,41766,41766,41766,0.9628605021094129,0.9628605021094129,0.9628605021094129,False
Eng-NA,NewEngland,981421,954064,954064,954064,0.9721251124644775,0.9721251124644775,0.9721251124644775,True
Eng-NA,NewmanRatner,1177503,1139598,1139598,1139598,0.9678089992127409,0.9678089992127409,0.9678089992127409,False
Eng-NA,Nicolopoulou,68968,68879,68879,68879,0.9987095464563276,0.9987095464563276,0.9987095464563276,False
Eng-NA,Nippold,78964,78735,78735,78735,0.9970999442784053,0.9970999442784053,0.9970999442784053,False
Eng-NA,OCSC,1043405,1036492,1036492,1036492,0.9933745765067256,0.9933745765067256,0.9933745765067256,False
Eng-NA,PaidoEnglish,10209,0,0,0,0.0,0.0,0.0,False
Eng-NA,Penney,8605,0,0,0,0.0,0.0,0.0,False
Eng-NA,Peters,169574,162213,162213,162213,0.9565912227110288,0.9565912227110288,0.9565912227110288,True
Eng-NA,PetersonMcCabe,112717,108786,108786,108786,0.9651250476857972,0.9651250476857972,0.9651250476857972,False
Eng-NA,Post,138946,137639,137639,137639,0.9905934679659724,0.9905934679659724,0.9905934679659724,True
Eng-NA,Providence,1809765,1663634,1663634,1663634,0.9192541573077168,0.9192541573077168,0.9192541573077168,False
Eng-NA,Rollins,266121,254522,254522,254522,0.956414563300153,0.956414563300153,0.956414563300153,True
Eng-NA,Rowe,207636,0,0,0,0.0,0.0,0.0,False
Eng-NA,Sachs,98508,95521,95521,95521,0.9696775896373898,0.9696775896373898,0.9696775896373898,True
Eng-NA,Sawyer,99282,92521,92521,92521,0.9319010495356661,0.9319010495356661,0.9319010495356661,False
Eng-NA,Snow,162969,157274,157274,157274,0.9650547036552964,0.9650547036552964,0.9650547036552964,True
Eng-NA,Soderstrom,102919,100639,100639,100639,0.9778466561082017,0.9778466561082017,0.9778466561082017,True
Eng-NA,Sprott,27682,0,0,0,0.0,0.0,0.0,False
Eng-NA,StanfordEnglish,5326,0,0,0,0.0,0.0,0.0,False
Eng-NA,StoopsMontag,174063,172356,172356,172356,0.9901932059082057,0.9901932059082057,0.9901932059082057,False
Eng-NA,Suppes,286091,282461,282461,282461,0.9873117294846745,0.9873117294846745,0.9873117294846745,True
Eng-NA,Tardif,59132,57696,57696,57696,0.9757153487113577,0.9757153487113577,0.9757153487113577,True
Eng-NA,Valian,165572,161270,161270,161270,0.9740173459280554,0.9740173459280554,0.9740173459280554,True
Eng-NA,VanHouten,47249,46626,46626,46626,0.9868145357573705,0.9868145357573705,0.9868145357573705,True
Eng-NA,VanKleeck,62382,61713,61713,61713,0.9892757526209484,0.9892757526209484,0.9892757526209484,True
Eng-NA,Warren,37679,37374,37374,37374,0.9919053053424984,0.9919053053424984,0.9919053053424984,True
Eng-NA,Weist,548045,540454,540454,540454,0.9861489476229142,0.9861489476229142,0.9861489476229142,False
Eng-UK,Belfast,517946,500802,500802,500802,0.9669000243268603,0.9669000243268603,0.9669000243268603,True
Eng-UK,Cruttenden,10252,911,911,911,0.0888607101053453,0.0888607101053453,0.0888607101053453,True
Eng-UK,Edinburgh,418176,400378,400378,400378,0.9574389730639731,0.9574389730639731,0.9574389730639731,False
Eng-UK,Fletcher,213984,208416,208416,208416,0.9739793629430238,0.9739793629430238,0.9739793629430238,True
Eng-UK,Forrester,67527,0,0,0,0.0,0.0,0.0,False
Eng-UK,Gathburn,93225,90345,90345,90345,0.9691069991954948,0.9691069991954948,0.9691069991954948,False
Eng-UK,Howe,52671,51864,51864,51864,0.9846784758216096,0.9846784758216096,0.9846784758216096,True
Eng-UK,KellyQuigley,39480,38893,38893,38893,0.9851317122593718,0.9851317122593718,0.9851317122593718,False
Eng-UK,Lara,534067,517739,517739,517739,0.9694270569048453,0.9694270569048453,0.9694270569048453,False
Eng-UK,MPI-EVA-Manchester,3714021,3552154,3552154,3552154,0.9564173169726289,0.9564173169726289,0.9564173169726289,False
Eng-UK,Manchester,2015293,1953689,1953689,1953689,0.9694317401985716,0.9694317401985716,0.9694317401985716,True
Eng-UK,Nuffield,39535,39092,39092,39092,0.9887947388390034,0.9887947388390034,0.9887947388390034,False
Eng-UK,Sekali,427520,415359,415359,415359,0.9715545471556887,0.9715545471556887,0.9715545471556887,False
Eng-UK,Smith,5364,0,0,0,0.0,0.0,0.0,False
Eng-UK,Thomas,2522711,2463102,2463102,2463102,0.976371054789867,0.976371054789867,0.976371054789867,False
Eng-UK,Tommerdahl,105481,103518,103518,103518,0.9813900133673363,0.9813900133673363,0.9813900133673363,False
Eng-UK,Wells,285032,264659,264659,264659,0.9285238148699093,0.9285238148699093,0.9285238148699093,True
