vac,verb,item,grain,age_months,cumulative_share,bin_tokens,bin_weight,n_tokens,exposure_tokens
VL,come,VL|come,schematic,18,0.016346154150946583,27,0.00022544713682136236,3872,119762
VL,come,VL|come,schematic,21,0.03472888811563717,60,0.0002535357675584083,3872,236653
VL,come,VL|come,schematic,24,0.08213494558244254,399,0.0006538271831519058,3872,610253
VL,come,VL|come,schematic,27,0.13870464710178532,513,0.000780212710623212,3872,657513
VL,come,VL|come,schematic,30,0.19319002752524753,554,0.0007514656292642961,3872,737226
VL,come,VL|come,schematic,33,0.24170395525530736,461,0.000669106996159529,3872,688978
VL,come,VL|come,schematic,36,0.29604627523797644,504,0.0007494925310987352,3872,672455
VL,come,VL|come,schematic,39,0.3659909591389375,237,0.0009646812684948123,3872,245677
VL,come,VL|come,schematic,42,0.4287435801214874,170,0.0008654879060792889,3872,196421
VL,come,VL|come,schematic,45,0.4953142068391132,152,0.0009181460697911822,3872,165551
VL,come,VL|come,schematic,48,0.5739118176435355,194,0.001084022954465448,3872,178963
VL,come,VL|come,schematic,51,0.6431953544246649,131,0.0009555626878300703,3872,137092
VL,come,VL|come,schematic,54,0.6993774016567551,88,0.0007748661594815441,3872,113568
VL,come,VL|come,schematic,57,0.7596289229746288,121,0.0008309925897437659,3872,145609
VL,come,VL|come,schematic,60,0.8187527221176829,78,0.0008154389779831476,3872,95654
VL,come,VL|come,schematic,63,0.8763200504765587,51,0.0007939720397297382,3872,64234
VL,come,VL|come,schematic,66,0.9453151976932813,82,0.000951585201689644,3872,86172
VL,come,VL|come,schematic,69,0.9999999999999999,50,0.0007542160678191088,3872,66294
VL,fall,VL|fall,schematic,18,0.03901168811669715,43,0.00035904544012291045,2977,119762
VL,fall,VL|fall,schematic,21,0.08951571399400285,110,0.0004648155738570819,2977,236653
VL,fall,VL|fall,schematic,24,0.15414688578440566,363,0.0005948352568524857,2977,610253
VL,fall,VL|fall,schematic,27,0.235449795164607,492,0.0007482741786093963,2977,657513
VL,fall,VL|fall,schematic,30,0.3097303640553453,504,0.0006836438215689625,2977,737226
VL,fall,VL|fall,schematic,33,0.3674496645047697,366,0.0005312216064954178,2977,688978
VL,fall,VL|fall,schematic,36,0.42157827864036346,335,0.0004981745990438022,2977,672455
VL,fall,VL|fall,schematic,39,0.48039928746607913,133,0.0005413612181848524,2977,245677
