vac,verb,item,n_risk,n_event,n_censored,n_left_censored,naive_median,km_median,km_ci_low,km_ci_high,km_s_end,median_reached,aoa_rank
VL,go,VL|go,962,521,441,343,41.328542094455855,26.0,24.0,27.42710472279261,0.0,True,1.0
VL,sit,VL|sit,962,290,672,143,33.03285420944559,26.82135523613963,24.06406570841889,29.295687885010267,0.00511494773541371,True,2.0
VL,come,VL|come,962,345,617,184,41.72279260780287,27.525667351129364,25.0,29.657084188911703,5.4887501562667204e-05,True,3.0
VL,fall,VL|fall,962,315,647,145,36.19712525667351,27.55852156057495,25.032854209445585,29.75564681724846,0.0,True,4.0
VL,look,VL|look,962,372,590,208,41.87063655030801,28.657084188911703,25.75564681724846,30.0,3.865685630751768e-06,True,5.0
VL,put,VL|put,962,184,778,70,30.427104722792606,30.0,28.689938398357288,32.8870636550308,0.08983383796575312,True,6.0
VL,get,VL|get,962,300,662,145,42.0,30.55852156057495,28.06570841889117,33.0,0.0003138851811732849,True,7.0
VL,jump,VL|jump,962,169,793,59,40.29568788501027,37.09856262833676,33.16427104722793,40.72279260780287,0.020779927388376213,True,8.0
VO,want,VO|want,962,550,412,402,30.0,20.032854209445585,18.32854209445585,21.689938398357288,0.0,True,1.0
VO,get,VO|get,962,610,352,442,36.0,20.985626283367555,18.49281314168378,23.09856262833675,0.0,True,2.0
VO,do,VO|do,962,536,426,367,36.0,21.0,19.0,23.920739219712523,6.136492338442137e-13,True,3.0
VO,have,VO|have,962,559,403,402,36.72279260780287,23.295687885010267,19.0,25.032854209445585,0.0,True,4.0
VO,see,VO|see,962,468,494,310,39.27926078028747,23.49281314168378,18.62422997946612,25.55852156057495,3.194490073296642e-10,True,5.0
VO,put,VO|put,962,439,523,251,36.0,24.75564681724846,23.164271047227928,27.0,1.259175866897477e-06,True,6.0
VO,eat,VO|eat,962,432,530,277,36.016427104722794,26.197125256673512,23.522381930184807,28.0,1.9061606713038762e-07,True,7.0
VO,make,VO|make,962,421,541,227,39.0,27.0,25.0,28.0,0.0,True,8.0
VOL,put,VOL|put,962,454,508,274,36.0,26.689938398357288,24.591375770020537,28.0,2.951214947820465e-07,True,1.0
VOL,take,VOL|take,962,275,687,124,36.0,29.722792607802873,27.55852156057495,30.75564681724846,0.0025769428548727455,True,2.0
VOL,get,VOL|get,962,283,679,132,36.6570841889117,30.197125256673512,29.164271047227928,32.8870636550308,0.002452389809967091,True,3.0
VOL,want,VOL|want,962,142,820,33,30.098562628336758,33.0,31.032854209445585,36.0,0.1713956334681025,True,4.0
VOL,have,VOL|have,962,219,743,81,41.0,34.03285420944559,32.29568788501027,36.0,0.0,True,5.0
VOL,turn,VOL|turn,962,138,824,46,32.29568788501027,34.91991786447639,32.06042094455852,36.0,0.1757123557237971,True,6.0
VOL,do,VOL|do,962,133,829,38,36.13141683778234,40.558521560574945,36.0,42.03285420944559,0.04116325734762049,True,7.0
VOL,see,VOL|see,962,143,819,44,40.0,40.85420944558521,36.591375770020534,45.0,0.07948958907327192,True,8.0
VOO,give,VOO|give,962,281,681,125,40.0,30.0,28.295687885010267,31.591375770020537,0.0,True,1.0
VOO,get,VOO|get,962,147,815,46,33.75564681724846,34.16427104722793,30.75564681724846,39.2299794661191,0.09147966979395841,True,2.0
VOO,do,VOO|do,962,95,867,14,33.03285420944559,41.36139630390144,37.2299794661191,46.52566735112936,0.30651199235296994,True,3.0
VOO,show,VOO|show,962,116,846,22,36.0,42.68993839835729,36.0,50.492813141683776,0.19631410562306326,True,4.0
VOO,tell,VOO|tell,962,122,840,32,43.29568788501027,44.72279260780287,42.0,51.29568788501027,0.11252263930787186,True,5.0
VOO,make,VOO|make,962,83,879,18,33.0,50.09856262833676,43.8870636550308,61.6570841889117,0.4208996615776637,True,6.0
VOO,bring,VOO|bring,962,65,897,12,34.03285420944559,57.2299794661191,42.68993839835729,65.19712525667352,0.4693465646870808,True,7.0
VOO,take,VOO|take,962,70,892,17,32.81211498973306,71.0,50.98562628336756,71.4271047227926,0.37131818328024874,True,8.0
