vac,verb,item,construction,preposition,grain,n_children,n_tokens,median_first_age,mean_first_age,pooled_first_age,aoa_rank
VL,put,VL|put,VL,,schematic,184,1035,30.42710472279261,35.764998660833854,18.197125256673512,1.0
VL,sit,VL|sit,VL,,schematic,290,3485,33.03285420944559,36.26075904552857,18.0,2.0
VL,fall,VL|fall,VL,,schematic,315,2977,36.19712525667351,41.10529643753463,18.0,3.0
VL,jump,VL|jump,VL,,schematic,169,858,40.29568788501027,42.1108343559773,18.591375770020537,4.0
VL,go,VL|go,VL,,schematic,521,14484,41.328542094455855,41.76199616122841,18.06570841889117,5.0
VL,come,VL|come,VL,,schematic,345,3872,41.72279260780287,42.198928667083294,18.0,6.0
VL,look,VL|look,VL,,schematic,372,4862,41.87063655030801,42.35342010553973,18.0,7.0
VL,get,VL|get,VL,,schematic,300,2433,42.0,43.256673511293634,18.06570841889117,8.0
VOL,want,VOL|want,VOL,,schematic,142,825,30.09856262833676,34.78955664169824,20.722792607802873,1.0
VOL,turn,VOL|turn,VOL,,schematic,138,731,32.29568788501027,35.89206320864209,18.06570841889117,2.0
VOL,put,VOL|put,VOL,,schematic,454,10729,36.0,38.9269916507612,18.0,3.0
VOL,take,VOL|take,VOL,,schematic,275,2795,36.0,41.367616203098756,18.06570841889117,3.0
VOL,do,VOL|do,VOL,,schematic,133,636,36.13141683778234,41.190131385959766,19.75564681724846,5.0
VOL,get,VOL|get,VOL,,schematic,283,3002,36.6570841889117,42.035742013191026,18.0,6.0
VOL,see,VOL|see,VOL,,schematic,143,596,40.0,43.02057695897532,19.0,7.0
VOL,have,VOL|have,VOL,,schematic,219,1095,41.0,43.46856628505527,19.55852156057495,8.0
VO,want,VO|want,VO,,schematic,550,19051,30.0,35.500698151950715,18.0,1.0
VO,do,VO|do,VO,,schematic,536,18403,36.0,38.665722976493306,18.0,2.0
VO,get,VO|get,VO,,schematic,610,27319,36.0,39.50381728212206,18.0,2.0
VO,put,VO|put,VO,,schematic,439,7837,36.0,38.786587961252245,18.0,2.0
VO,eat,VO|eat,VO,,schematic,432,8154,36.016427104722794,39.54960453266408,18.0,5.0
VO,have,VO|have,VO,,schematic,559,17919,36.72279260780287,40.42083068547898,18.0,6.0
VO,make,VO|make,VO,,schematic,421,10548,39.0,40.41612080360147,18.13141683778234,7.0
VO,see,VO|see,VO,,schematic,468,10139,39.27926078028747,41.14442601660261,18.0,8.0
VOO,take,VOO|take,VOO,,schematic,70,203,32.81211498973306,37.11619243179818,20.26283367556468,1.0
VOO,make,VOO|make,VOO,,schematic,83,267,33.0,37.03733207985948,21.0,2.0
VOO,do,VOO|do,VOO,,schematic,95,304,33.03285420944559,36.485075110774886,19.55852156057495,3.0
VOO,get,VOO|get,VOO,,schematic,147,866,33.75564681724846,37.696713182192795,18.0,4.0
VOO,bring,VOO|bring,VOO,,schematic,65,145,34.03285420944559,36.886558205654715,22.591375770020537,5.0
VOO,show,VOO|show,VOO,,schematic,116,568,36.0,40.57447072151809,18.0,6.0
VOO,give,VOO|give,VOO,,schematic,281,2170,40.0,41.25239866420163,18.0,7.0
VOO,tell,VOO|tell,VOO,,schematic,122,418,43.29568788501027,44.51316188103814,22.591375770020537,8.0
